id,thread_id,parent_id,body,author,timestamp,type,url,thumbnail_url,hashtags,usertags,mentioned,num_likes,num_comments,level,query
CHOcUXwFqdC,CHOcUXwFqdC,CHOcUXwFqdC,"Michigan pollsters ordering a few large pizzas with sausage, pepperoni and extra fraud",cletusqpublic,1604614925.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123987335_382720082782403_7527339245250342117_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=jj1YZ2NkwkEAX-vLTqp&tp=18&oh=b563b06767ed202c1653e17974d69339&oe=5FDC8BB8&ig_cache_key=MjQzNjAwODk5MzY0ODcxNTU4Ng%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123987335_382720082782403_7527339245250342117_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=jj1YZ2NkwkEAX-vLTqp&tp=18&oh=b563b06767ed202c1653e17974d69339&oe=5FDC8BB8&ig_cache_key=MjQzNjAwODk5MzY0ODcxNTU4Ng%3D%3D.2,,,,1421,56,post,billgatesisevil
CG7kz9Si6So,CG7kz9Si6So,CG7kz9Si6So,"How to Be A Successful Instapreneur? 👇⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣
👉Follow us @simplymillionaire 👈⁣⁣⁣⁣⁣⁣⁣⁣⁣
👉Follow us @simplymillionaire 👈⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣
I was fully addict to mobile games before i got idea about Instagram. I had no goals for future. ❌⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣
When i started this Instagram Page. I just started stealing content from others and copying them. I was hoping for Overnight Success. 🤯⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣
But overnight success never comes, after researching a lot. I got my mentor who changed my thinking of overnight success. He guided me to know every aspect of Instagram. 🐱‍🏍⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣
I started planning to achieve small goals to make a big difference. I started achieving them and that's how i got 9K+ Followers and Made $2K+ from this. If i haven't taken action then now i haven't been here. 🙌⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣
Same works for You. You have to work hard and start achieving small goals in life to become successful. If you just hope for it and make excuses, you will never Achieve it. 🧲⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣
📢 If you want to Build & Scale Instagram Business.⁣⁣⁣⁣⁣⁣
👊 Dm 'SIMPLY' for Paid Mentorship.⁣⁣⁣⁣⁣⁣
😬 Limited Spots.⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣
Are you an Action Taker? 🤔⁣⁣⁣⁣⁣⁣⁣⁣⁣
Turn on Post Notification 📲⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
Save to See Later 📥⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
Hashtags-⁣⁣⁣⁣⁣⁣⁣⁣
#simplymillionaire⁣⁣⁣⁣⁣⁣⁣⁣
#igbiz #successful #successfulmindset #successfulminds #successfulpeople #successfullife #successfulstoner #successfull #successfulbusiness #successfulhabits #billgates #billgatesquotes #billgatesisevil #billgatesquote #warrenbuffett #warrenbuffettquotes #warrenbuffettquote #warrenbuffettwisdom",simplymillionaire,1603981842.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/123025351_2682016662050540_819413344541738954_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=00NSU2J1Cw4AX9jYD0c&_nc_tp=25&oh=8b3230dfd1ec5da648ed8de57db6faa5&oe=5FDCD1FE&ig_cache_key=MjQzMDY5ODMyNDA3MzYyMDY0OA%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/123025351_2682016662050540_819413344541738954_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=00NSU2J1Cw4AX9jYD0c&_nc_tp=25&oh=8b3230dfd1ec5da648ed8de57db6faa5&oe=5FDCD1FE&ig_cache_key=MjQzMDY5ODMyNDA3MzYyMDY0OA%3D%3D.2,"simplymillionaire,igbiz,successful,successfulmindset,successfulminds,successfulpeople,successfullife,successfulstoner,successfull,successfulbusiness,successfulhabits,billgates,billgatesquotes,billgatesisevil,billgatesquote,warrenbuffett,warrenbuffettquotes,warrenbuffettquote,warrenbuffettwisdom",simplymillionaire,"simplymillionaire,simplymillionaire",5047,45,post,billgatesisevil
CGEiDo3H39S,CGEiDo3H39S,CGEiDo3H39S,"Keep on smiling, because the show must go on 😁
.
.
.
Ich glaube mich kann nichts mehr schocken 😆😆😆 
Dankbar für alles. 
#grateful#happy#free#independent#lovelife#keepongoing#chemtrails#deepstate#frazzledrip#pedowood#911attacks#billgatesisevil#rockefeller#rothschildfamily#geoengineering#royalbloodline#agenda21#agenda2030#govegan#pizzagate#nightclub#clubbing#party#photography#white#smile#blondehair",laimei.yasmin,1602134903.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/120994138_3765285183506429_3260684364762626963_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=EqdXzF2ecikAX83Bxzn&tp=18&oh=0bfeeaf048eb849ef8fc99cc83c05d35&oe=5FDD3853&ig_cache_key=MjQxNTIwNTA4Mzc5MTcyMDI3NA%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/120994138_3765285183506429_3260684364762626963_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=EqdXzF2ecikAX83Bxzn&tp=18&oh=0bfeeaf048eb849ef8fc99cc83c05d35&oe=5FDD3853&ig_cache_key=MjQxNTIwNTA4Mzc5MTcyMDI3NA%3D%3D.2,"grateful,happy,free,independent,lovelife,keepongoing,chemtrails,deepstate,frazzledrip,pedowood,911attacks,billgatesisevil,rockefeller,rothschildfamily,geoengineering,royalbloodline,agenda21,agenda2030,govegan,pizzagate,nightclub,clubbing,party,photography,white,smile,blondehair",,,393,26,post,billgatesisevil
CFZzAP7FxyA,CFZzAP7FxyA,CFZzAP7FxyA,Anything outside the narrative is censored. Anyone speaking against the narrative is SILENCED. Ironic how fact checkers didn’t exist until the truth started coming out. 🤷🏻‍♀️ #doyourownresearch,ivyuntamed,1600700948.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/119860419_723800625239921_1125783524016305772_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=9PPlAoYgnFsAX_Xt-VG&tp=18&oh=464f586bffd8235ce6aafaba4b83ded1&oe=5FDE410D&ig_cache_key=MjQwMzE3NjE5MzY0ODQzNDMwNA%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/119860419_723800625239921_1125783524016305772_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=9PPlAoYgnFsAX_Xt-VG&tp=18&oh=464f586bffd8235ce6aafaba4b83ded1&oe=5FDE410D&ig_cache_key=MjQwMzE3NjE5MzY0ODQzNDMwNA%3D%3D.2,doyourownresearch,,,390,25,post,billgatesisevil
