id,thread_id,parent_id,body,author,timestamp,type,url,thumbnail_url,hashtags,usertags,mentioned,num_likes,num_comments,level,query
CGu_BH7sjg7,CGu_BH7sjg7,CGu_BH7sjg7,"Colección de OVNIS reales fotografiados alrededor del mundo. 🛸🌎
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
👽 Primera línea de 1 a 5
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
👽 Segunda línea de 6 a 10
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
👻 ¡Vamos! 👻
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
1 - Brasil, año 2019 🇧🇷
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
2 - México, año 2007 🇲🇽
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
3 - Wisconsin, febrero de 2003 🇺🇸
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
4 - Jastrowo, Polonia, junio de 2020 🇵🇱
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
5 - Nayarit, México, 12 de mayo de 2008 🇲🇽
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
6 - Sobre el Océano Pacífico, 2019 🌎
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
7 - Texcoco, México, 20 de agosto de 2020 🇲🇽
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
8 - Australia, año 1983 🇦🇺
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
9 - Guarulhos, São Paulo, Brasil, 17 de mayo de 2020 🇧🇷
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
10 - Hangzhou, China, 7 de julio de 2010 🇨🇳
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
💭 Coméntanos si alguna vez viste un OVNI 🛸
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
📸 Sigue @chileufo si te gusta nuestro contenido 👻
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🔔 No olvides activar las notificaciones 🔔
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ovnis #coleccion #extraterrestres #ufos #alienigenas #ufosighting #extraterrestrial #alienabduction #flyingsaucer #alienmeme #extraterrestre #ufosightings #aliensarereal #alienigena #tierraplana #ufofiles #aliensky #extraterrestrials #alieninvasion #ufohunter #alienworld #projectbluebeam #alienmemes #ufologia #alienlife #ufology #alienday #ufo #viajeeneltiempo #ovni",chileufo,1603559373.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/122414954_270002934339384_1563836374445784215_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=ZCT481X_Gz0AX-OnoxH&tp=18&oh=dd4cd5ee1350c447403c89b54f48dde4&oe=5FDD4631&ig_cache_key=MjQyNzE1NDQwMzM2NjY4MDYzNQ%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/122414954_270002934339384_1563836374445784215_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=ZCT481X_Gz0AX-OnoxH&tp=18&oh=dd4cd5ee1350c447403c89b54f48dde4&oe=5FDD4631&ig_cache_key=MjQyNzE1NDQwMzM2NjY4MDYzNQ%3D%3D.2,"ovnis,coleccion,extraterrestres,ufos,alienigenas,ufosighting,extraterrestrial,alienabduction,flyingsaucer,alienmeme,extraterrestre,ufosightings,aliensarereal,alienigena,tierraplana,ufofiles,aliensky,extraterrestrials,alieninvasion,ufohunter,alienworld,projectbluebeam,alienmemes,ufologia,alienlife,ufology,alienday,ufo,viajeeneltiempo,ovni",,chileufo,5601,68,post,projectbluebeam
CFqdcbKJvs3,CFqdcbKJvs3,CFqdcbKJvs3,"*lies undetected*
⁣
@givethatsomethought⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣
⁣⁣

⁣⁣
⁣
⁣
⁣⁣
⁣
#itunes #podcast #podcastersofinstagram #podcastlife #podcasts #podcaster #podcasting #noagenda #noagendashow #inthemorning #gtst #spotify #googlepodcasts  #conspiracy #thehighersidechats #alexjones #givethatsomethought #trump #donaldtrump #maga #makepodcastsgreatagain #projectbluebeam #aliens #sasquatch #bigfoot #yeti #area51 #politics #republican #democrat ⁣⁣
⁣⁣",givethatsomethought,1601260070.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/120194755_358772818823233_6375934821326593292_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=2EzwNrqToPAAX9-ndj-&tp=18&oh=8da25d0b1269d524512b99f2e58a26ed&oe=5FDDED0F&ig_cache_key=MjQwNzg2NjQ0NzQzODQ3ODEzNQ%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/120194755_358772818823233_6375934821326593292_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=2EzwNrqToPAAX9-ndj-&tp=18&oh=8da25d0b1269d524512b99f2e58a26ed&oe=5FDDED0F&ig_cache_key=MjQwNzg2NjQ0NzQzODQ3ODEzNQ%3D%3D.2,"itunes,podcast,podcastersofinstagram,podcastlife,podcasts,podcaster,podcasting,noagenda,noagendashow,inthemorning,gtst,spotify,googlepodcasts,conspiracy,thehighersidechats,alexjones,givethatsomethought,trump,donaldtrump,maga,makepodcastsgreatagain,projectbluebeam,aliens,sasquatch,bigfoot,yeti,area51,politics,republican,democrat",,givethatsomethought,167,3,post,projectbluebeam
