id,thread_id,parent_id,body,author,timestamp,type,url,thumbnail_url,hashtags,usertags,mentioned,num_likes,num_comments,level,query
CHE_HwYndLS,CHE_HwYndLS,CHE_HwYndLS,DO NOT ALLOW YOUR CHILD TO BE A LAB 🐀 RAT. JUST ASK YOUR CHILDS SCHOOL HOW LONG ITS BEEN WIRED WITH 5G THEN KEEP THEM OUT. #lifeskills2020 #livealifeofnofear #stop5gatlanta #stop5gtowers#stop5gcalifornia #stop5goregon #stop5gworldwide,lifeskills2020,1604294025.0,picture,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/123328911_1759409564234705_4224276907200076495_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=onUGVuAOuQ0AX8GU_ry&tp=18&oh=7232f7b2752076ed03bcd398c936b4a1&oe=5FDE4421,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/123328911_1759409564234705_4224276907200076495_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=onUGVuAOuQ0AX8GU_ry&tp=18&oh=7232f7b2752076ed03bcd398c936b4a1&oe=5FDE4421,"lifeskills2020,livealifeofnofear,stop5gatlanta,stop5gtowers,stop5gcalifornia,stop5goregon,stop5gworldwide",,,0,0,post,stop5gworldwide
CG-fDByjNDn,CG-fDByjNDn,CG-fDByjNDn,"Reposted from @stop5g_germany .
.
#stop5g #stop5grollout #stop5gglobal #stop5gflorida #stop5gaustralia #stop5guk #stop5gespaña #stop5gitalia #stop5gcalifornia #stop5ginternational #stop5gtowers #stop5gbarcelona #stop5gworldwide #stop5gusa #stop5gindonesia #stop5gitaly #stop5geverywhere #stop5gcentralcoast #stop5gtoday #stop5gpennsylvania #stop5ghawaii #stop5gchicago #emfprotection #emfsensitivity #digitaldetox #healing #energyhealing #grounding #emfs #Stop5Ggermany 

@Stop5G_Germany",cilla_9_,1604075906.0,video,https://scontent-frx5-1.cdninstagram.com/v/t50.2886-16/123258316_357007118692625_4096706761579933054_n.mp4?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=_pqdwOdl9poAX-skVMk&oe=5FB52C5F&oh=9e8bae8b6a19f588d4881f5268c308cc,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/123300596_836048980479965_2220553021744580054_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=s1oDLkMBKmMAX9IX8N7&tp=18&oh=983f04388e4ddab37b363d8c71882558&oe=5FB4EFA1,"stop5g,stop5grollout,stop5gglobal,stop5gflorida,stop5gaustralia,stop5guk,stop5gespaña,stop5gitalia,stop5gcalifornia,stop5ginternational,stop5gtowers,stop5gbarcelona,stop5gworldwide,stop5gusa,stop5gindonesia,stop5gitaly,stop5geverywhere,stop5gcentralcoast,stop5gtoday,stop5gpennsylvania,stop5ghawaii,stop5gchicago,emfprotection,emfsensitivity,digitaldetox,healing,energyhealing,grounding,emfs,stop5ggermany",,"stop5g_germany,Stop5G_Germany",0,0,post,stop5gworldwide
CGrCve9JZqH,CGrCve9JZqH,CGrCve9JZqH,"Reposted from: @awakening_sheep 
~
#agenda21 #arrestbillgates #billgatesforprison2020 #billgatesforjail2020 #fucktheelite #fuckthenewnormal #exposebillgates #event201 #londonrealarmy #stop5grollout #stop5g #stop5gtowers #stop5gworldwide #wakeupsheeple #wearebiggertogether #weareinthistogether #wemuststoptheelite #dontstopprotesting #davidickeinterview #davidicke #davidickewasright #exposewho",zulma_matos_,1603419942.0,video,https://scontent-frt3-1.cdninstagram.com/v/t50.2886-16/122167078_136859211461073_1666473577414711385_n.mp4?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=_27xFP884OMAX8RycSd&oe=5FB54A35&oh=195610c3807815cb1d651c0a157d8359,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/122503936_347849679628427_3645679443526175381_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=l6oy2KinnsIAX_7SFZl&tp=18&oh=a73c38c57ae1d050da47aefecd413990&oe=5FB50BEE,"agenda21,arrestbillgates,billgatesforprison2020,billgatesforjail2020,fucktheelite,fuckthenewnormal,exposebillgates,event201,londonrealarmy,stop5grollout,stop5g,stop5gtowers,stop5gworldwide,wakeupsheeple,wearebiggertogether,weareinthistogether,wemuststoptheelite,dontstopprotesting,davidickeinterview,davidicke,davidickewasright,exposewho",,awakening_sheep,3,0,post,stop5gworldwide
CGRtn-SHVU_,CGRtn-SHVU_,CGRtn-SHVU_,(See the CDC tag. They want to keep lying to the public so they tag any post thats aware of their lies. 1932-1972 they told black People that shots of SYPHILIS WAS HEALTH CARE.) People save the mask for Halloween. It ain't working. ⏰ WAKEUP. THEY ARE LYING TO YOU. #stop5gatlanta #stop5grollout #stop5gworldwide #lifeskills2020 #livealifeofnofear,lifeskills2020,1602569976.0,picture,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/121059391_1255490701496945_4448347954608375102_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=oaGeG6XzBjkAX_dT9eQ&tp=18&oh=524495ea3136de09b8b817070069b6f7&oe=5FDD68D2,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/121059391_1255490701496945_4448347954608375102_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=oaGeG6XzBjkAX_dT9eQ&tp=18&oh=524495ea3136de09b8b817070069b6f7&oe=5FDD68D2,"stop5gatlanta,stop5grollout,stop5gworldwide,lifeskills2020,livealifeofnofear",,,9,0,post,stop5gworldwide
CFr1W02nYHU,CFr1W02nYHU,CFr1W02nYHU,"Reposted from @thewokebeing WAKE UP!!👁
~
#wakeupsheeple #wokesheeps #wokesheep #wakeupworldwide #wakeuphumanity #wakeupamerica #wwg1wga👊🏼👊🏾👊👊🏿👊🏻 #wwg1wwga #wwg1wgaworldwide🤝🌍🤝 #event201 #exposethenewworldorder #brainwashedsociety #brainwashedsociety📺 #defundmainstreammedia #wearebiggertogether #weareinthistogether #protestamerica #protestworld #fuckthenewworldorder #fuckthenewnormal #nomasksneeded #nomasks #londonrealarmy #plandemic2020 #saynotobillgates #stop5gworldwide - #regrann",hippiechick_38_83,1601298961.0,picture,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/120310876_664874977468880_4207919333724006875_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=MHN62E5T9WIAX-54tA_&tp=18&oh=378d46a37ac919d05609462b47f0295f&oe=5FDCAA56,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/120310876_664874977468880_4207919333724006875_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=MHN62E5T9WIAX-54tA_&tp=18&oh=378d46a37ac919d05609462b47f0295f&oe=5FDCAA56,"wakeupsheeple,wokesheeps,wokesheep,wakeupworldwide,wakeuphumanity,wakeupamerica,wwg1wga,wwg1wwga,wwg1wgaworldwide,event201,exposethenewworldorder,brainwashedsociety,brainwashedsociety,defundmainstreammedia,wearebiggertogether,weareinthistogether,protestamerica,protestworld,fuckthenewworldorder,fuckthenewnormal,nomasksneeded,nomasks,londonrealarmy,plandemic2020,saynotobillgates,stop5gworldwide,regrann",,thewokebeing,16,1,post,stop5gworldwide
CFMc9R-D_bP,CFMc9R-D_bP,CFMc9R-D_bP,"Always watchful and ready!!! 👀👂🏼

“WHAT IN THE WORLD ARE THEY SPRAYING” (MUST-SEE DOCUMENTARY)  YT: https://youtu.be/rEUg8uLoZNY

#doyourownresearch #researchforourselves #chemtrailvscontrail #stopgeoengineeringnow #stophaarp #stop5gglobal #stop5gworldwide",chemtrails_watch_pt_andmore,1600245982.0,picture,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/119460862_1024467947974230_2295799918198932471_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=14ovua1qZlwAX8wwfZy&tp=15&oh=0f03860e03bbfba65d45aff62e9c9c05&oe=5FDDB9EF,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/119460862_1024467947974230_2295799918198932471_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=14ovua1qZlwAX8wwfZy&tp=15&oh=0f03860e03bbfba65d45aff62e9c9c05&oe=5FDDB9EF,"doyourownresearch,researchforourselves,chemtrailvscontrail,stopgeoengineeringnow,stophaarp,stop5gglobal,stop5gworldwide","cat.foyh,chemtrails_watch_pt_andmore",,8,4,post,stop5gworldwide
CEajnzpHUAW,CEajnzpHUAW,CEajnzpHUAW,"Digamos NO al 5G !!!
•
#5gspaceappeal #stop5gglobal #stop5g #stop5gworldwide",tecnologia.responsable,1598571754.0,picture,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/118367464_765746420664245_421011554685182341_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=n3czoLI9YIQAX8V51Wq&tp=18&oh=4076718b183be618a220470fffb87922&oe=5FDAAC36,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/118367464_765746420664245_421011554685182341_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=n3czoLI9YIQAX8V51Wq&tp=18&oh=4076718b183be618a220470fffb87922&oe=5FDAAC36,"5gspaceappeal,stop5gglobal,stop5g,stop5gworldwide",,,85,0,post,stop5gworldwide
CDotkbrJXJJ,CDotkbrJXJJ,CDotkbrJXJJ,"I'm drop dead serious.  Don't you remember the PANdemonIUM?
At the very start of the ""Coronavirus Outbreak"" in Wuhan, China we saw that the mainstream media flooded our TV sets and radio stations with news of people just dropping dead on the streets of Wuhan^^^^^

There was no warning or signs of illness whatsoever^^^^ they just ""DROPPED DEAD"" and that was the original tactic used to scare the living daylights out of people all over the world^^^^

Isn't it strange that we didn't see people ""drop dead"" on the streets anywhere else in the world following the outbreak????

It's so obvious now that China used Crisis Actors for the start of the worlds biggest Psychological False Flag Operation in the name of Covid-19 and created a worldwide pandemic that would eventually shutdown and lockdown the whole world^^^^

*AND THEY ALL HAD MASKS ON* ??
#coronavirus #coronavirushoax2020 #planndemic #planndemia #5g #5gtowers #stop5gworldwide #warcriminals #centralbank #government #govermentlies #govermentliestoyou #hidinggod #flatearthawakening #flatearthtruth #flatearthtruthsetsyoufree #flatearthers #researchflatearth_ #flatearthmatters #flatearthisreal #zionist #zionistagenda",nivelplano3,1596899248.0,picture,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/117392127_226288715289024_7421327850047283949_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=MaJoN_9rBh8AX_Jlczl&tp=18&oh=91c34d4a5412f230f994691b93ad5e32&oe=5FDD5244,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/117392127_226288715289024_7421327850047283949_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=MaJoN_9rBh8AX_Jlczl&tp=18&oh=91c34d4a5412f230f994691b93ad5e32&oe=5FDD5244,"coronavirus,coronavirushoax2020,planndemic,planndemia,5g,5gtowers,stop5gworldwide,warcriminals,centralbank,government,govermentlies,govermentliestoyou,hidinggod,flatearthawakening,flatearthtruth,flatearthtruthsetsyoufree,flatearthers,researchflatearth_,flatearthmatters,flatearthisreal,zionist,zionistagenda",,,20,0,post,stop5gworldwide
CDlpk6RBNAj,CDlpk6RBNAj,CDlpk6RBNAj,"Super Power Obelisk Orgonite ✨
Available on our website - link in bio ✨

Orgonite helps to filter and balance energy fields in our environment and can aid in strengthening your energy body by converting low frequency energy into a higher frequency that is more beneficial for life forms including yourself, pets and plants. Orgonite protects from EMF radiation frequency.

TITANIUM AURA is a form of Quartz, which is combined with titanium (the metal of power). Titanium is one of the strongest and most beautiful of all metals. 
The vibrational energy, along with the colour of this crystal has the ability to heal the human energy field. Together they merge with the aura to release any energy blocks and patch up holes in the aura by its colour. It enhances ones physical vitality and brings more energy into the auric field. 
It is stimulating to the auric field and meridians, acting as a prism for soul-level energy, infusing the aura with a rainbow spectrum of light.

Shungite - The Stone of Life & Transformation is believed to have the ability to absorb and completely neutralise the dangerous frequencies from EMF radiation. The reason that Shungite is believed to be able to do this is due to the fullerenes inside. ... These unique molecules are what scientists believe give shungite the ability to block EMF radiation.

TENSOR RING Within a Tensor Ring is an infinite source of energy that is neither electric nor magnetic with an output that is beneficial and healing to all life forms. It is a superconductor that neutralises magnetic fields, bringing coherency to chaos, and easily stabilises and equalises the bio magnetic and energy fields of the body. Tensor Fields produce a measurable gravitational effect.

More info available on our website ✨
.
.
.
.
.
#orgoniteireland #orgonite #orgone #orgoneenergy #obelisk #obeliskorgonite #realorgonite #meditationtool #5dtool #ascension #negativitycleanser #cleanser #emfprotection #5gprotection #radiationprotection #stop5g ##stop5gireland #stop5gworldwide #shungite #quartzcrystal #titaniumauracrystal #liquidgols #superpowerorgonite #buyrealorgonite #tensorrings #tensorringorgonite #tensorringtechnology #tensorringtech #5dearth",orgonite_ireland,1596796491.0,picture,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/116911460_327383861781932_850464786708451470_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=JoUB7lphsXEAX8T6px5&tp=15&oh=e99c06dc7ea7943a106b059ef56776c1&oe=5FDCFF25,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/116911460_327383861781932_850464786708451470_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=JoUB7lphsXEAX8T6px5&tp=15&oh=e99c06dc7ea7943a106b059ef56776c1&oe=5FDCFF25,"orgoniteireland,orgonite,orgone,orgoneenergy,obelisk,obeliskorgonite,realorgonite,meditationtool,5dtool,ascension,negativitycleanser,cleanser,emfprotection,5gprotection,radiationprotection,stop5g,stop5gireland,stop5gworldwide,shungite,quartzcrystal,titaniumauracrystal,liquidgols,superpowerorgonite,buyrealorgonite,tensorrings,tensorringorgonite,tensorringtechnology,tensorringtech,5dearth",,,61,6,post,stop5gworldwide
CDRFIkopzEo,CDRFIkopzEo,CDRFIkopzEo,"Repost: @truth_seeker_society 

#stop5gworldwide #stop5gglobal #stop5ginternational #stop5ggermany #covid19",stop_5g_in_germany,1596106337.0,video,https://scontent-frx5-1.cdninstagram.com/v/t50.2886-16/116677533_374877903481217_6989946868959124380_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjY0MC5mZWVkLmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=CV82GjjgZ84AX-I2UhF&vs=17883525742677534_1222765710&_nc_vs=HBksFQAYJEdKMWI5QWFCYVVVUTgxUUJBSnliS1p1a1J3Rmhia1lMQUFBRhUAAsgBABUAGCRHSDEtOEFiOFFRbm54YVVBQUJWTUdIci1nOHRKYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACa82IOYmb7EPxUCKAJDMywXQE3VP3ztkWgYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&oe=5FB5601D&oh=5b3772c20e9bd07745aaabda0b1d9a7d,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/116321505_114229763714584_8113723881388614308_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=WNzpqNuT9kYAX9R6vo8&tp=18&oh=45f82f7c1d758e1485d01c61d48f1291&oe=5FB4FC81,"stop5gworldwide,stop5gglobal,stop5ginternational,stop5ggermany,covid19",,truth_seeker_society,27,0,post,stop5gworldwide
