id,thread_id,parent_id,body,author,timestamp,type,url,thumbnail_url,hashtags,usertags,mentioned,num_likes,num_comments,level,query
CHqFqSdFFk7,CHqFqSdFFk7,CHqFqSdFFk7,"I will NEVER get this ♈️🅰️❎.. take away whatever you want, me and mine will adapt. 🙅🏻‍♀️ #crunchymama #idonotconsent",ivyuntamed,1605542568.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125435009_386904512657964_2057830434398474295_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=asU1sVT8xT8AX-vV-QA&tp=18&oh=0ee02d19f57a8caedcf6d247d8395611&oe=5FDDE981&ig_cache_key=MjQ0Mzc5MDY0NDA2NzcxOTQ4Mw%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125435009_386904512657964_2057830434398474295_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=asU1sVT8xT8AX-vV-QA&tp=18&oh=0ee02d19f57a8caedcf6d247d8395611&oe=5FDDE981&ig_cache_key=MjQ0Mzc5MDY0NDA2NzcxOTQ4Mw%3D%3D.2,"crunchymama,idonotconsent",,,1320,218,post,scamdemic
CHJbYlZDxir,CHJbYlZDxir,CHJbYlZDxir,"here is what i celebrate today: REAL FREEDOM - not the illusion of choice. i took my boys to dinner last thursday @basilicoshb where there are no masks, no social distancing, no lies, real oxygen, real connection with humans, and best/most of all: love. i am SO grateful to tony for standing up for our rights. he has never bent his knee to herr newsome’s completely unlawful shutdown. i am immensely grateful to tony, also, for knowing his rights and not backing down, thereby giving us the chance to commune. i am proud to be homeschooling, which includes teaching my boys what it means to live a life outside of the fear and lies. the boys and i were ecstatic to see so many other families there. lastly, we were able to meet a hero of ours, @peggyhall1  this woman is an inspiration and the boys were THRILLED to meet this powerhouse in person. she is just lovely!
•
the food was outstanding, the drinks were excellent, and the place was packed. ...and for all you sheep out there, basilico’s has had zero “cases” (which means nothing, anyway, as this “virus” has never been isolated or purified, per the cdc, and the “tests” are useless because a “positive” or “negative” depends on the number of cycles of amplification, so, more lies there 🙄🙄🙄🙄). so if you don’t like it, tough shit. keep scrollin and go troll somewhere else. not arguing with you, because you’ll lose. 
•
99.9% survival rate #scamdemic this is the greatest lie ever told.",gretjeangell,1604446661.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123654100_712267232750696_4102161030807797081_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=oOfj0MQyqKYAX8AaJeE&tp=18&oh=f3c84596cfdc5847bc9960a166a0189d&oe=5FDBEDDB&ig_cache_key=MjQzNDU5NzUxMDI0MjU3MjQ1OQ%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123654100_712267232750696_4102161030807797081_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=oOfj0MQyqKYAX8AaJeE&tp=18&oh=f3c84596cfdc5847bc9960a166a0189d&oe=5FDBEDDB&ig_cache_key=MjQzNDU5NzUxMDI0MjU3MjQ1OQ%3D%3D.2,scamdemic,"basilicoshb,peggyhall1","basilicoshb,peggyhall1",151,46,post,scamdemic
CG7gQrapsCw,CG7gQrapsCw,CG7gQrapsCw,"The look on my face when more illegal and detrimental lockdowns are announced. 😆

For those that have come to the realisation that all of these lockdowns are not about covid19 with a survival rate of over 99%. 

The lockdowns, the mask wearing, the ‘social’ distancing are not legally binding upon anybody. They are ‘measures’, ‘guidelines’ and ‘rules’ not laws. 

The lockdowns are killing more people than corona has, we know this now. So why more lockdowns? I suppose everybody has to research deeply and find these answers for themselves. 

But for those that feel bullied into these measures and feel they are wrong. You are within your legal rights to walk anywhere you like without a mask (the lockdown was presented because masks didn’t work, there have been no studies done of mask effectiveness. Yet now several months later; they are mandatory? They magically now work?). 

If a shop attendant asks you why you are not wearing a mask, it is sufficient for you to say you are exempt. If they ask you for proof, then they are breaking the law. Under the Disabilities Act of 2010 it is illegal to ask a person with a hidden disability what their disability is. Many people have been suing supermarkets/shops for this, they are rewarded between £900-£9000 in compensation for emotional injury. 

Lockdowns are being used against the people now. They are also illegal. All our rights afforded to us under Common Law from the Magna Carta 1215 mean that any free person is exempt from any of this. 

Know your rights guys and go about your lawful business as usual. Stay strong and keep the joy in your lives. Keep breathing freely and smiling and remember none of our ancestors died for our freedoms so that we would hand them over to corrupt leaders with no resistance whatsoever.

Stand proud guys we are all free people. 💓 ⚖️💓 

#nomorelockdowns #nomaske #nomorelockdownsplease #wedonotconsent #wedonotconsentworldwide #freepressfreepeople #freedomoverfear #freedomofthought #question #scamdemic #covid1984 #peaceful #peacefulprotest #standupx #standuptall #maskfree #unity #loveconquers #peoplepower #wearefree #weare99percent #lovethyneighbor #mumssupportingmums #mumsforfreedom",the_raw_mum,1603979455.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/122897853_981646219022833_466637415124297634_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=kYNLz4Rmr0AAX8VLZAz&tp=18&oh=0644476218add116a85092c0d5bff768&oe=5FDBC7F6&ig_cache_key=MjQzMDY3ODMwNzUxNDUzMjAxNg%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/122897853_981646219022833_466637415124297634_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=kYNLz4Rmr0AAX8VLZAz&tp=18&oh=0644476218add116a85092c0d5bff768&oe=5FDBC7F6&ig_cache_key=MjQzMDY3ODMwNzUxNDUzMjAxNg%3D%3D.2,"nomorelockdowns,nomaske,nomorelockdownsplease,wedonotconsent,wedonotconsentworldwide,freepressfreepeople,freedomoverfear,freedomofthought,question,scamdemic,covid1984,peaceful,peacefulprotest,standupx,standuptall,maskfree,unity,loveconquers,peoplepower,wearefree,weare99percent,lovethyneighbor,mumssupportingmums,mumsforfreedom",,,194,209,post,scamdemic
CGpWt6qA8zL,CGpWt6qA8zL,CGpWt6qA8zL,"Teach your kids, nieces, nephews etc. We see it now where they think like a mob and can’t figure things out for themselves. Red is blue, the sky is orange, 2+2=5. 

#stupid #commonsense #truth #freedom #usa #usa🇺🇸 #trump #liberty #dumbass #donaldtrump #america #freedomisntfree #lexit #blexit #conservative #conservativelatinos #wakeup #latino #awaken #standup #clinteastwood #danbongino #commonsense #conservativewomen #foxnews #cubansfortrump #colombiansfortrump #scamdemic #hoax #walkaway",timetopaywakeup,1603370472.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/122252779_3467573419988669_6975823233687883105_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=SBtPilyYvvwAX_g4dFY&tp=18&oh=92f1bd1878a3c2aed2734c1835f4e023&oe=5FDE31AE&ig_cache_key=MjQyNTU2OTc4NjY5NzMzODA1OQ%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/122252779_3467573419988669_6975823233687883105_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=SBtPilyYvvwAX_g4dFY&tp=18&oh=92f1bd1878a3c2aed2734c1835f4e023&oe=5FDE31AE&ig_cache_key=MjQyNTU2OTc4NjY5NzMzODA1OQ%3D%3D.2,"stupid,commonsense,truth,freedom,usa,usa,trump,liberty,dumbass,donaldtrump,america,freedomisntfree,lexit,blexit,conservative,conservativelatinos,wakeup,latino,awaken,standup,clinteastwood,danbongino,commonsense,conservativewomen,foxnews,cubansfortrump,colombiansfortrump,scamdemic,hoax,walkaway",,,3533,123,post,scamdemic
