id,thread_id,parent_id,body,author,timestamp,type,url,thumbnail_url,hashtags,usertags,mentioned,num_likes,num_comments,level,query
CHgkfJHpTGH,CHgkfJHpTGH,CHgkfJHpTGH,"#열매1반
-
처음 배운 뜨개질로,
또는 부모님의 도움을 받아,
완성시킨 모자가 하나 둘씩 들어오기 시작했다😊
-
#savethechildren #신생아모자뜨기14",kimdh8816,1605223185.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124842352_555391171992123_5691959945254980373_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Xcp6QnSgV7MAX-qGaH1&tp=18&oh=ca3d4cf6a678b51e4e23645ea783af6f&oe=5FDD9E3C&ig_cache_key=MjQ0MTExMTQ2NzgwNDkzMDQzOQ%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124842352_555391171992123_5691959945254980373_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Xcp6QnSgV7MAX-qGaH1&tp=18&oh=ca3d4cf6a678b51e4e23645ea783af6f&oe=5FDD9E3C&ig_cache_key=MjQ0MTExMTQ2NzgwNDkzMDQzOQ%3D%3D.2,"열매1반,savethechildren,신생아모자뜨기14",,,1606,60,post,savethechildren
CHJHTHEl1Sx,CHJHTHEl1Sx,CHJHTHEl1Sx,"I vote for FREEDOM
I vote for life
I vote for religious freedom
I vote for the unborn
I vote for medical freedom
I vote for the end of human trafficking
I vote for a multitude of other reasons
...I vote Donald J. Trump
.
.
and I did It all with my girls watching + taking notes on how to make our voices heard
.
.
Addie was 10 days old, last election. Today, four years later, she was filled with questions as we walked over to the neighborhood school + waited in line, to exercise our right!
.
.
I pray for the leaders of our nation, regardless of who wins, and I promise I’ll still be your friend + family, regardless of who you voted for!
.
.
One love, y’all!",shea.collective,1604436130.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123605384_711614589443511_6596567212815109011_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=FDuBR2jf25EAX9fAQzF&tp=18&oh=b67cb4e20e66e3851f9b3be066982f59&oe=5FDE35DB&ig_cache_key=MjQzNDUwOTE3MzE1OTMxODcwNQ%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123605384_711614589443511_6596567212815109011_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=FDuBR2jf25EAX9fAQzF&tp=18&oh=b67cb4e20e66e3851f9b3be066982f59&oe=5FDE35DB&ig_cache_key=MjQzNDUwOTE3MzE1OTMxODcwNQ%3D%3D.2,,,,162,17,post,savethechildren
CHDWocYn99K,CHDWocYn99K,CHDWocYn99K,#savethechildren #voteblue #biden2020 #bidenharris2020 #bluewave,stoptrump2020,1604242843.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123145863_136412661151073_880514436633644210_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=v0H-jXOH2KsAX-G1wSP&tp=18&oh=f7833b64f56acfb2f497f642b336f5eb&oe=5FDF27D5&ig_cache_key=MjQzMjg4Nzc1OTk5MDQxNTE3OA%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123145863_136412661151073_880514436633644210_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=v0H-jXOH2KsAX-G1wSP&tp=18&oh=f7833b64f56acfb2f497f642b336f5eb&oe=5FDF27D5&ig_cache_key=MjQzMjg4Nzc1OTk5MDQxNTE3OA%3D%3D.2,"savethechildren,voteblue,biden2020,bidenharris2020,bluewave",,,8173,191,post,savethechildren
CGvVmpkgBVs,CGvVmpkgBVs,CGvVmpkgBVs,"Remember, people deserve love and kindness. And it’s on us to be decent to the people we are around. Share love. Share beauty. Be kind. I didn’t write this and I wish I knew who did, but I had a lot of people say they loved it on my stories yesterday so here it is to easily share! ✨🖤🦋",chanellealyssa,1603571215.0,picture,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/122687443_190755625940229_3598883264860341694_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=OVuPqvoTyJwAX-I7FKc&tp=18&oh=46e21b351c43e6edfbd7aeb76d1521dd&oe=5FDF1DA3&ig_cache_key=MjQyNzI1MzczOTEyODYyNDQ5Mg%3D%3D.2,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/122687443_190755625940229_3598883264860341694_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=OVuPqvoTyJwAX-I7FKc&tp=18&oh=46e21b351c43e6edfbd7aeb76d1521dd&oe=5FDF1DA3&ig_cache_key=MjQyNzI1MzczOTEyODYyNDQ5Mg%3D%3D.2,,,,67908,1084,post,savethechildren
