id,thread_id,parent_id,body,author,timestamp,type,url,thumbnail_url,hashtags,usertags,mentioned,num_likes,num_comments,level,query
CHgDwGRpiCs,CHgDwGRpiCs,CHgDwGRpiCs,"Bruh
#actorbasedreality #differentroles #thevirusscareisfake #dontgetthevaccine #id2020 #fightback #energyharvesting #pizzagate #pedogate #childtrafficking #ritualsacrifice #adrenochrome #mkultra #gematria  #fuck5g #emfpoisoning #60ghz #killsoxygenobsorption #falseflag #filmyourhospital #plannedemic #weoponizedai #genocide #brainwashinghumanity #shilajit #seamoss #vibratehigher",plant_based_frequencies22,1605202422.0,picture,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/125163755_131743338696959_6788930538878940118_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=GSutHAahiIwAX8hpLjq&tp=19&oh=dd716ea7a58ebbbe09a49a0141fea933&oe=5FD8B64B,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/125163755_131743338696959_6788930538878940118_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=GSutHAahiIwAX8hpLjq&tp=19&oh=dd716ea7a58ebbbe09a49a0141fea933&oe=5FD8B64B,"actorbasedreality,differentroles,thevirusscareisfake,dontgetthevaccine,id2020,fightback,energyharvesting,pizzagate,pedogate,childtrafficking,ritualsacrifice,adrenochrome,mkultra,gematria,fuck5g,emfpoisoning,60ghz,killsoxygenobsorption,falseflag,filmyourhospital,plannedemic,weoponizedai,genocide,brainwashinghumanity,shilajit,seamoss,vibratehigher",,,14,2,post,plannedemic
CHf13C5h18r,CHf13C5h18r,CHf13C5h18r,"WAKE UPPPPPP!!!!!

#billgates #vaccines #killingus #openyoureyes #fuckthesystem #coronahoax2020 #plandemic #5g #medialies #humanity #masscontrol #dontgettested #depopulation #scamdemic #truthseeker #trump #plannedemic #awareness #anonymous #q #chemtrails #agenda21 #agenda2030 #covid_19 #coronahoaxvirus #adrenochrom #pedophelia #satanic #reptilians",theconspiracyterrorist,1605195139.0,picture,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/124712011_173336021076730_2847919007068517989_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=URk5rQZDVXcAX8m6Mv8&tp=18&oh=a0488e84d4c113f178ac7a4ee3e2fec4&oe=5FD60CE7,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/124712011_173336021076730_2847919007068517989_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=URk5rQZDVXcAX8m6Mv8&tp=18&oh=a0488e84d4c113f178ac7a4ee3e2fec4&oe=5FD60CE7,"billgates,vaccines,killingus,openyoureyes,fuckthesystem,coronahoax2020,plandemic,5g,medialies,humanity,masscontrol,dontgettested,depopulation,scamdemic,truthseeker,trump,plannedemic,awareness,anonymous,q,chemtrails,agenda21,agenda2030,covid_19,coronahoaxvirus,adrenochrom,pedophelia,satanic,reptilians",,,2,0,post,plannedemic
CHfyxFshY23,CHfyxFshY23,CHfyxFshY23,"Killary 🤮

#billgates #vaccines #killingus #openyoureyes #fuckthesystem #coronahoax2020 #plandemic #5g #medialies #humanity #masscontrol #dontgettested #depopulation #scamdemic #truthseeker #trump #plannedemic #awareness #anonymous #q #chemtrails #agenda21 #agenda2030 #covid_19 #coronahoaxvirus #adrenochrom #pedophelia #satanic #reptilians",theconspiracyterrorist,1605193533.0,video,https://scontent-muc2-1.cdninstagram.com/v/t50.2886-16/124734307_455263798774835_2819230767026262679_n.mp4?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ZVJeGSI2GlAAX-Yz_hs&oe=5FAFB7DD&oh=195effee8984c27504b648b90535b71f,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/125173536_280926803297292_1713156496022975796_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=Yi-tB0xlO5gAX9RJ2w6&tp=18&oh=1b64f025d7190a86ce466de2c4a39d90&oe=5FAF8DE0,"billgates,vaccines,killingus,openyoureyes,fuckthesystem,coronahoax2020,plandemic,5g,medialies,humanity,masscontrol,dontgettested,depopulation,scamdemic,truthseeker,trump,plannedemic,awareness,anonymous,q,chemtrails,agenda21,agenda2030,covid_19,coronahoaxvirus,adrenochrom,pedophelia,satanic,reptilians",,,2,1,post,plannedemic
CHfyUHjBy4J,CHfyUHjBy4J,CHfyUHjBy4J,"yes he is

#billgates #vaccines #killingus #openyoureyes #fuckthesystem #coronahoax2020 #plandemic #5g #medialies #humanity #masscontrol #dontgettested #depopulation #scamdemic #truthseeker #trump #plannedemic #awareness #anonymous #q #chemtrails #agenda21 #agenda2030 #covid_19 #coronahoaxvirus #adrenochrom #pedophelia #satanic #reptilians",theconspiracyterrorist,1605193280.0,picture,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/124519570_358300352139197_8739710066348254656_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=6hStF1QU94sAX-OknNM&tp=18&oh=ff7e946d7e4fd0fd7c4d6b3224efc4d3&oe=5FD59A08,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/124519570_358300352139197_8739710066348254656_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=6hStF1QU94sAX-OknNM&tp=18&oh=ff7e946d7e4fd0fd7c4d6b3224efc4d3&oe=5FD59A08,"billgates,vaccines,killingus,openyoureyes,fuckthesystem,coronahoax2020,plandemic,5g,medialies,humanity,masscontrol,dontgettested,depopulation,scamdemic,truthseeker,trump,plannedemic,awareness,anonymous,q,chemtrails,agenda21,agenda2030,covid_19,coronahoaxvirus,adrenochrom,pedophelia,satanic,reptilians",,,0,0,post,plannedemic
CHfx7KiBw5r,CHfx7KiBw5r,CHfx7KiBw5r,"Killary is that you? have you run out of adrenochrome?

#billgates #vaccines #killingus #openyoureyes #fuckthesystem #coronahoax2020 #plandemic #5g #medialies #humanity #masscontrol #dontgettested #depopulation #scamdemic #truthseeker #trump #plannedemic #awareness #anonymous #q #chemtrails #agenda21 #agenda2030 #covid_19 #coronahoaxvirus #adrenochrom #pedophelia #satanic #reptilians",theconspiracyterrorist,1605193146.0,video,https://scontent-muc2-1.cdninstagram.com/v/t50.2886-16/124870052_151736356675738_3107299023375954134_n.mp4?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=0rrmXcw-x2AAX_tXTST&oe=5FAFEB78&oh=ba6a7efcff1b000ba5099963ad08d502,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/124695503_835526053927538_7524023118206990963_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=8yXstRDY9j8AX8P4psb&tp=18&oh=c62cb5b757c35202f72e4750e3e5ca74&oe=5FB022C4,"billgates,vaccines,killingus,openyoureyes,fuckthesystem,coronahoax2020,plandemic,5g,medialies,humanity,masscontrol,dontgettested,depopulation,scamdemic,truthseeker,trump,plannedemic,awareness,anonymous,q,chemtrails,agenda21,agenda2030,covid_19,coronahoaxvirus,adrenochrom,pedophelia,satanic,reptilians",,,0,0,post,plannedemic
CHfwO_WFXYk,CHfwO_WFXYk,CHfwO_WFXYk,The pits tucked in for the winter 😢.,talk_shit_get_bit_,1605192190.0,picture,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124641730_1057107698124723_2777822651099284338_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=uezQrEPQv68AX8bR1_o&tp=15&oh=ac12cbc62b93dfa86eb1703b7c43f2bc&oe=5FD63729,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124641730_1057107698124723_2777822651099284338_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=uezQrEPQv68AX8bR1_o&tp=15&oh=ac12cbc62b93dfa86eb1703b7c43f2bc&oe=5FD63729,,,,6,2,post,plannedemic
CHfveYihEfr,CHfveYihEfr,CHfveYihEfr,"Rest in peace ❤️ killed for telling the truth

#billgates #vaccines #killingus #openyoureyes #fuckthesystem #coronahoax2020 #plandemic #5g #medialies #humanity #masscontrol #dontgettested #depopulation #scamdemic #truthseeker #trump #plannedemic #awareness #anonymous #q #chemtrails #agenda21 #agenda2030 #covid_19 #coronahoaxvirus #adrenochrom #pedophelia #satanic #reptilians",theconspiracyterrorist,1605191792.0,picture,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/124620863_478493446450298_5160310498845583186_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=XR47w9lX5UgAX-vNqW5&tp=18&oh=ccc91ab5336606e43620637913e8891a&oe=5FAFB91C,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/124620863_478493446450298_5160310498845583186_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=XR47w9lX5UgAX-vNqW5&tp=18&oh=ccc91ab5336606e43620637913e8891a&oe=5FAFB91C,"billgates,vaccines,killingus,openyoureyes,fuckthesystem,coronahoax2020,plandemic,5g,medialies,humanity,masscontrol,dontgettested,depopulation,scamdemic,truthseeker,trump,plannedemic,awareness,anonymous,q,chemtrails,agenda21,agenda2030,covid_19,coronahoaxvirus,adrenochrom,pedophelia,satanic,reptilians",,,2,0,post,plannedemic
CHfvFJCh3Ok,CHfvFJCh3Ok,CHfvFJCh3Ok,"Rest in peace Gaddafi ❤️

#Repost with @fastsave_photo_video
credit: @fight_fake_news
 🤔 #billgates #vaccines #killingus #openyoureyes #fuckthesystem #coronahoax2020 #plandemic #5g #medialies #humanity #masscontrol #dontgettested #depopulation #scamdemic #truthseeker #trump #plannedemic #awareness #anonymous #q #chemtrails #agenda21 #agenda2030 #covid_19 #coronahoaxvirus #adrenochrom #pedophelia #satanic #reptilians",theconspiracyterrorist,1605191585.0,picture,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/124444782_2824051091031405_6539758009640568462_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Yjm8N98h0GsAX-FDOVd&tp=19&oh=26458b69b98e8ab5903627428ce25572&oe=5FD815D7,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/124444782_2824051091031405_6539758009640568462_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Yjm8N98h0GsAX-FDOVd&tp=19&oh=26458b69b98e8ab5903627428ce25572&oe=5FD815D7,"repost,billgates,vaccines,killingus,openyoureyes,fuckthesystem,coronahoax2020,plandemic,5g,medialies,humanity,masscontrol,dontgettested,depopulation,scamdemic,truthseeker,trump,plannedemic,awareness,anonymous,q,chemtrails,agenda21,agenda2030,covid_19,coronahoaxvirus,adrenochrom,pedophelia,satanic,reptilians",,"fastsave_photo_video,fight_fake_news",2,1,post,plannedemic
CHfuis7BDdf,CHfuis7BDdf,CHfuis7BDdf,"Sad cleaner 🥱😂

#Repost with @fastsave_photo_video
credit: @fight_fake_news
 🤔 #billgates #vaccines #killingus #openyoureyes #fuckthesystem #coronahoax2020 #plandemic #5g #medialies #humanity #masscontrol #dontgettested #depopulation #scamdemic #truthseeker #trump #plannedemic #awareness #anonymous #q #chemtrails #agenda21 #agenda2030 #covid_19 #coronahoaxvirus #adrenochrom #pedophelia #satanic #reptilians",theconspiracyterrorist,1605191303.0,picture,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124531860_589007511859517_4624167395423658505_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=zNuFTLbm6aEAX926--K&tp=15&oh=607c1fd7036dcf49c43467fc15c29fbc&oe=5FD7FAF0,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124531860_589007511859517_4624167395423658505_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=zNuFTLbm6aEAX926--K&tp=15&oh=607c1fd7036dcf49c43467fc15c29fbc&oe=5FD7FAF0,"repost,billgates,vaccines,killingus,openyoureyes,fuckthesystem,coronahoax2020,plandemic,5g,medialies,humanity,masscontrol,dontgettested,depopulation,scamdemic,truthseeker,trump,plannedemic,awareness,anonymous,q,chemtrails,agenda21,agenda2030,covid_19,coronahoaxvirus,adrenochrom,pedophelia,satanic,reptilians",,"fastsave_photo_video,fight_fake_news",3,1,post,plannedemic
CHftsfNBoQy,CHftsfNBoQy,CHftsfNBoQy,"🤮 pedobama

#Repost with @fastsave_photo_video
credit: @fight_fake_news
 🤔 #billgates #vaccines #killingus #openyoureyes #fuckthesystem #coronahoax2020 #plandemic #5g #medialies #humanity #masscontrol #dontgettested #depopulation #scamdemic #truthseeker #trump #plannedemic #awareness #anonymous #q #chemtrails #agenda21 #agenda2030 #covid_19 #coronahoaxvirus #adrenochrom #pedophelia #satanic #reptilians",theconspiracyterrorist,1605190858.0,picture,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124604990_407700626918479_1972981397617842686_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=pSYMtxVO4eEAX8_07pN&tp=15&oh=54270d3119b30fa40e5c7dc3dbe82627&oe=5FD5644A,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124604990_407700626918479_1972981397617842686_n.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=pSYMtxVO4eEAX8_07pN&tp=15&oh=54270d3119b30fa40e5c7dc3dbe82627&oe=5FD5644A,"repost,billgates,vaccines,killingus,openyoureyes,fuckthesystem,coronahoax2020,plandemic,5g,medialies,humanity,masscontrol,dontgettested,depopulation,scamdemic,truthseeker,trump,plannedemic,awareness,anonymous,q,chemtrails,agenda21,agenda2030,covid_19,coronahoaxvirus,adrenochrom,pedophelia,satanic,reptilians",,"fastsave_photo_video,fight_fake_news",0,0,post,plannedemic
